"combo_idx","scenario","n","type","prop","mechanism","method","is_mi","n_files","manifest","manifest_rows","done","expected_done","shortfall","n_skipped_no_arm","n_error","n_to_patch","error_message","basis","n_orphan_tmp","orphan_tmp","n_patched","n_unpatched","n_skipped_mi_files","n_no_arm_files","n_unreadable","first_unpatched_run","last_patched_run","patch_window_start","died_at","span_minutes","diagnosis"
57,2,500,"both",0.3,"MAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:35:46.867483,2026-08-13 14:36:27.799983,0.68,"ok"
58,4,500,"both",0.3,"MAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:35:02.011578,2026-08-13 14:36:05.758242,1.06,"ok"
59,5,500,"both",0.3,"MAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:43:33.533389,2026-08-13 14:43:53.492151,0.33,"ok"
60,1,500,"both",0.3,"MNAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:36:06.907377,2026-08-13 14:36:42.612486,0.6,"ok"
61,2,500,"both",0.3,"MNAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:43:33.54178,2026-08-13 14:43:52.644813,0.32,"ok"
62,4,500,"both",0.3,"MNAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:37:56.97941,2026-08-13 14:38:42.204288,0.75,"ok"
63,5,500,"both",0.3,"MNAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:37:00.665894,2026-08-13 14:37:58.095,0.96,"ok"
64,2,500,"both",0.3,"MNAR-Y","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:38:51.753064,2026-08-13 14:39:40.2984,0.81,"ok"
65,4,500,"both",0.3,"MNAR-Y","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:39:47.592171,2026-08-13 14:40:18.14786,0.51,"ok"
66,5,500,"both",0.3,"MNAR-Y","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:37:37.390274,2026-08-13 14:38:07.699769,0.51,"ok"
67,1,500,"both",0.3,"MAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:07:12.938481,2026-08-11 23:49:21.107899,342.14,"mi_by_design"
68,2,500,"both",0.3,"MAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:07:22.989351,2026-08-11 23:49:22.929907,342,"mi_by_design"
69,4,500,"both",0.3,"MAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:08:53.923994,2026-08-11 23:54:11.154462,345.29,"mi_by_design"
70,5,500,"both",0.3,"MAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:08:05.242213,2026-08-11 23:54:55.413649,346.84,"mi_by_design"
71,1,500,"both",0.3,"MNAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:07:18.626892,2026-08-11 23:53:56.797374,346.64,"mi_by_design"
72,2,500,"both",0.3,"MNAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:07:45.910804,2026-08-11 23:51:29.13832,343.72,"mi_by_design"
73,4,500,"both",0.3,"MNAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:09:20.039123,2026-08-11 23:53:52.695574,344.54,"mi_by_design"
74,5,500,"both",0.3,"MNAR","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:08:32.27973,2026-08-11 23:51:47.762963,343.26,"mi_by_design"
75,2,500,"both",0.3,"MNAR-Y","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:07:21.981647,2026-08-11 23:53:18.035408,345.93,"mi_by_design"
76,4,500,"both",0.3,"MNAR-Y","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:08:38.936562,2026-08-11 23:52:19.336442,343.67,"mi_by_design"
77,5,500,"both",0.3,"MNAR-Y","multiple_imputation",TRUE,100,TRUE,100,0,0,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-11 18:07:39.934168,2026-08-11 23:51:21.993975,343.7,"mi_by_design"
78,1,500,"both",0.3,"MAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:43:10.561026,2026-08-13 14:43:39.149277,0.48,"ok"
79,2,500,"both",0.3,"MAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:43:21.041821,2026-08-13 14:43:51.730345,0.51,"ok"
80,4,500,"both",0.3,"MAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:43:33.643332,2026-08-13 14:43:49.648064,0.27,"ok"
81,5,500,"both",0.3,"MAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:45:27.771739,2026-08-13 14:45:52.310149,0.41,"ok"
82,1,500,"both",0.3,"MNAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:45:01.284298,2026-08-13 14:45:13.285249,0.2,"ok"
83,2,500,"both",0.3,"MNAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:55:41.898512,2026-08-13 14:55:48.49445,0.11,"ok"
84,4,500,"both",0.3,"MNAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:46:37.611419,2026-08-13 14:46:45.964437,0.14,"ok"
85,5,500,"both",0.3,"MNAR","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:45:25.278146,2026-08-13 14:46:07.650838,0.71,"ok"
86,2,500,"both",0.3,"MNAR-Y","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:47:49.152734,2026-08-13 14:48:04.9093,0.26,"ok"
87,4,500,"both",0.3,"MNAR-Y","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:49:08.405746,2026-08-13 14:49:24.579056,0.27,"ok"
88,5,500,"both",0.3,"MNAR-Y","none",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:46:37.618095,2026-08-13 14:46:51.570916,0.23,"ok"
89,1,500,"both",0.3,"MAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:56:23.382306,2026-08-13 14:56:31.457863,0.13,"ok"
90,2,500,"both",0.3,"MAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:48:54.149399,2026-08-13 14:49:06.999152,0.21,"ok"
91,4,500,"both",0.3,"MAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:50:55.561887,2026-08-13 14:51:07.814626,0.2,"ok"
92,5,500,"both",0.3,"MAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:47:56.451597,2026-08-13 14:48:15.768721,0.32,"ok"
93,1,500,"both",0.3,"MNAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:47:15.195195,2026-08-13 14:47:34.39435,0.32,"ok"
94,2,500,"both",0.3,"MNAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:48:24.328712,2026-08-13 14:48:31.83246,0.13,"ok"
95,4,500,"both",0.3,"MNAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:48:09.827873,2026-08-13 14:48:24.239073,0.24,"ok"
96,5,500,"both",0.3,"MNAR","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:48:35.346579,2026-08-13 14:48:53.980917,0.31,"ok"
97,2,500,"both",0.3,"MNAR-Y","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:49:28.992024,2026-08-13 14:49:49.965929,0.35,"ok"
98,4,500,"both",0.3,"MNAR-Y","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:49:54.552262,2026-08-13 14:50:04.440728,0.16,"ok"
99,5,500,"both",0.3,"MNAR-Y","complete_data",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:51:15.905773,2026-08-13 14:51:25.78936,0.16,"ok"
